Date,Close,High,Low,Open,Volume,RSI_14,EMA_20,SMA_20,BB_upper,BB_lower,MACD,Signal_Line
,,,,,,,,,,,,
12-12-1980,0.098596647,0.099025305,0.098596647,0.098596647,469033600,,0.098596647,,,,0,0
15-12-1980,0.093452781,0.093881439,0.093452781,0.093881439,175884800,,0.098106755,,,,-0.000410337,-8.21E-05
16-12-1980,0.086593524,0.087022175,0.086593524,0.087022175,105728000,,0.097010257,,,,-0.001274327,-0.000320519
17-12-1980,0.088736825,0.089165482,0.088736825,0.088736825,86441600,,0.096222311,,,,-0.001765744,-0.000609564
18-12-1980,0.091309525,0.091738177,0.091309525,0.091309525,73449600,,0.095754427,,,,-0.001925406,-0.000872733
19-12-1980,0.096881993,0.09731065,0.096881993,0.096881993,48630400,,0.095861814,,,,-0.001584028,-0.001014992
22-12-1980,0.101597242,0.102026666,0.101597242,0.101597242,37363200,,0.096408045,,,,-0.000922369,-0.000996467
23-12-1980,0.105884492,0.106313149,0.105884492,0.105884492,46950400,,0.097310564,,,,-5.15E-05,-0.000807466
24-12-1980,0.11145702,0.111885677,0.11145702,0.11145702,48003200,,0.098657846,,,,0.001075992,-0.000430774
26-12-1980,0.121745564,0.122174221,0.121745564,0.121745564,55574400,,0.100856676,,,,0.002767801,0.000208941
29-12-1980,0.123460099,0.123888756,0.123460099,0.123460099,93161600,,0.103009383,,,,0.004198523,0.001006857
30-12-1980,0.120459512,0.120888158,0.120459512,0.120888158,68880000,,0.1046713,,,,0.005032249,0.001811935
31-12-1980,0.117030352,0.11745901,0.117030352,0.11745901,35750400,,0.105848353,,,,0.005354554,0.002520459
02-01-1981,0.118316248,0.119173562,0.118316248,0.118316248,21660800,67.42465459,0.107035771,,,,0.005648631,0.003146094
05-01-1981,0.115744315,0.116172961,0.115744315,0.116172961,35728000,64.49328743,0.107865156,,,,0.005609493,0.003638773
06-01-1981,0.110599756,0.111028414,0.110599756,0.111028414,45158400,64.49253204,0.108125594,,,,0.005104511,0.003931921
07-01-1981,0.105884492,0.106313149,0.105884492,0.106313149,55686400,66.91775503,0.107912156,,,,0.004274552,0.004000447
08-01-1981,0.103741266,0.104169912,0.103741266,0.104169912,39827200,63.15858184,0.107514928,,,,0.003404617,0.003881281
09-01-1981,0.109313771,0.109742428,0.109313771,0.109313771,21504000,65.00011235,0.107686247,,,,0.003128775,0.00373078
12-01-1981,0.108456478,0.109313781,0.108456478,0.109313781,23699200,60.46545405,0.107759602,0.106463095,0.12896063,0.083965561,0.002808616,0.003546347
13-01-1981,0.104598545,0.105027202,0.104598545,0.105027202,23049600,52.75646177,0.107458549,0.10676319,0.128977244,0.084549136,0.002218017,0.003280681
14-01-1981,0.105027206,0.105455863,0.105027206,0.105027206,14291200,49.15258831,0.107226993,0.107341911,0.128681784,0.086002039,0.001764216,0.002977388
15-01-1981,0.107170448,0.10802775,0.107170448,0.107170448,14067200,45.454646,0.107221607,0.108370757,0.127352558,0.089388957,0.001559539,0.002693818
16-01-1981,0.106313176,0.106741834,0.106313176,0.106741834,13395200,29.54461512,0.10713509,0.109249575,0.125886645,0.092612505,0.001313021,0.002417659
19-01-1981,0.112742998,0.113171655,0.112742998,0.112742998,41574400,37.37303245,0.107669177,0.110321249,0.124700703,0.095941794,0.001617837,0.002257695
20-01-1981,0.109313771,0.109742428,0.109313771,0.109742428,30083200,36.99932005,0.107825805,0.110942838,0.123878511,0.098007164,0.00156466,0.002119088
21-01-1981,0.11145702,0.112314323,0.11145702,0.11145702,15904000,43.29807425,0.108171635,0.111435826,0.123600389,0.099271264,0.001676137,0.002030498
22-01-1981,0.112742998,0.113600312,0.112742998,0.112742998,35548800,43.29818601,0.108607003,0.111778752,0.123667962,0.099889542,0.001846961,0.00199379
23-01-1981,0.112314306,0.11317162,0.112314306,0.112742963,11222400,45.65127201,0.108960079,0.111821616,0.123712123,0.099931109,0.001925551,0.001980143
26-01-1981,0.110599756,0.111028414,0.110599756,0.111028414,24640000,50,0.109116239,0.111264326,0.122203117,0.100325534,0.001828408,0.001949796
27-01-1981,0.109742388,0.110599691,0.109742388,0.110599691,23699200,56.00002132,0.109175872,0.11057844,0.119897828,0.101259053,0.001663069,0.00189245
28-01-1981,0.106313176,0.106741834,0.106313176,0.106741834,28156800,53.84613499,0.108903234,0.109871123,0.118118523,0.101623724,0.001241021,0.001762164
29-01-1981,0.102455258,0.102883915,0.102455258,0.102883915,43904000,39.18911872,0.108289141,0.109142369,0.11730147,0.100983267,0.00058846,0.001527424
30-01-1981,0.096881993,0.097739307,0.096881993,0.097739307,46188800,34.11686016,0.107202746,0.108070656,0.116769081,0.099372231,-0.000374102,0.001147119
02-02-1981,0.091309525,0.091738177,0.091309525,0.091738177,23766400,32.58361927,0.105689106,0.106848916,0.117625058,0.096072775,-0.001568511,0.000603993
